,id,date,home_team,away_team
0,13483,2024-03-12T00:00:00.000Z,Chicago Bulls,Dallas Mavericks
1,13484,2024-03-12T00:00:00.000Z,San Antonio Spurs,Golden State Warriors
2,13485,2024-03-12T01:00:00.000Z,Denver Nuggets,Toronto Raptors
3,13486,2024-03-12T02:30:00.000Z,Portland Trail Blazers,Boston Celtics
4,13487,2024-03-12T23:30:00.000Z,New York Knicks,Philadelphia 76ers
5,13480,2024-03-11T01:30:00.000Z,Los Angeles Lakers,Minnesota Timberwolves
6,13481,2024-03-11T23:00:00.000Z,Detroit Pistons,Charlotte Hornets
7,13482,2024-03-11T23:30:00.000Z,Cleveland Cavaliers,Phoenix Suns
8,13466,2024-03-10T00:00:00.000Z,Charlotte Hornets,Brooklyn Nets
9,13467,2024-03-10T00:00:00.000Z,Detroit Pistons,Dallas Mavericks
10,13468,2024-03-10T01:30:00.000Z,Phoenix Suns,Boston Celtics
11,13469,2024-03-10T01:30:00.000Z,Golden State Warriors,San Antonio Spurs
12,13470,2024-03-10T02:00:00.000Z,Denver Nuggets,Utah Jazz
13,13471,2024-03-10T03:00:00.000Z,Portland Trail Blazers,Toronto Raptors
14,13472,2024-03-10T19:00:00.000Z,LA Clippers,Milwaukee Bucks
15,13473,2024-03-10T22:00:00.000Z,Atlanta Hawks,New Orleans Pelicans
16,13474,2024-03-10T22:00:00.000Z,Miami Heat,Washington Wizards
17,13475,2024-03-10T22:00:00.000Z,New York Knicks,Philadelphia 76ers
18,13476,2024-03-10T22:00:00.000Z,Orlando Magic,Indiana Pacers
19,13477,2024-03-10T22:00:00.000Z,Sacramento Kings,Houston Rockets
20,13478,2024-03-10T23:00:00.000Z,Cleveland Cavaliers,Brooklyn Nets
21,13479,2024-03-10T23:00:00.000Z,Oklahoma City Thunder,Memphis Grizzlies
22,13457,2024-03-09T00:00:00.000Z,Philadelphia 76ers,New Orleans Pelicans
23,13458,2024-03-09T00:00:00.000Z,Washington Wizards,Charlotte Hornets
24,13459,2024-03-09T00:30:00.000Z,Cleveland Cavaliers,Minnesota Timberwolves
25,13460,2024-03-09T00:30:00.000Z,New York Knicks,Orlando Magic
26,13461,2024-03-09T00:30:00.000Z,Memphis Grizzlies,Atlanta Hawks
27,13462,2024-03-09T01:00:00.000Z,Oklahoma City Thunder,Miami Heat
28,13463,2024-03-09T03:00:00.000Z,Los Angeles Lakers,Milwaukee Bucks
29,13464,2024-03-09T03:00:00.000Z,Portland Trail Blazers,Houston Rockets
30,13465,2024-03-09T21:00:00.000Z,LA Clippers,Chicago Bulls
31,13450,2024-03-08T00:00:00.000Z,Detroit Pistons,Brooklyn Nets
32,13451,2024-03-08T00:00:00.000Z,Indiana Pacers,Minnesota Timberwolves
33,13452,2024-03-08T00:30:00.000Z,Dallas Mavericks,Miami Heat
34,13453,2024-03-08T02:00:00.000Z,Phoenix Suns,Toronto Raptors
35,13454,2024-03-08T03:00:00.000Z,Denver Nuggets,Boston Celtics
36,13455,2024-03-08T03:00:00.000Z,Golden State Warriors,Chicago Bulls
