,id,date,home_team,away_team
0,13570,2024-03-24T00:00:00.000Z,Washington Wizards,Toronto Raptors
1,13571,2024-03-24T00:00:00.000Z,Chicago Bulls,Boston Celtics
2,13572,2024-03-24T00:00:00.000Z,Houston Rockets,Utah Jazz
3,13573,2024-03-24T00:00:00.000Z,San Antonio Spurs,Phoenix Suns
4,13574,2024-03-24T02:00:00.000Z,Portland Trail Blazers,Denver Nuggets
5,13575,2024-03-24T19:00:00.000Z,Detroit Pistons,New Orleans Pelicans
6,13576,2024-03-24T19:30:00.000Z,LA Clippers,Philadelphia 76ers
7,13577,2024-03-24T22:00:00.000Z,Miami Heat,Cleveland Cavaliers
8,13578,2024-03-24T23:00:00.000Z,Milwaukee Bucks,Oklahoma City Thunder
9,13579,2024-03-24T23:00:00.000Z,Minnesota Timberwolves,Golden State Warriors
10,13561,2024-03-23T00:00:00.000Z,Miami Heat,New Orleans Pelicans
11,13562,2024-03-23T00:00:00.000Z,Minnesota Timberwolves,Cleveland Cavaliers
12,13563,2024-03-23T00:00:00.000Z,San Antonio Spurs,Memphis Grizzlies
13,13564,2024-03-23T02:00:00.000Z,Golden State Warriors,Indiana Pacers
14,13565,2024-03-23T02:00:00.000Z,Portland Trail Blazers,LA Clippers
15,13566,2024-03-23T02:30:00.000Z,Los Angeles Lakers,Philadelphia 76ers
16,13567,2024-03-23T17:00:00.000Z,New York Knicks,Brooklyn Nets
17,13568,2024-03-23T23:00:00.000Z,Orlando Magic,Sacramento Kings
18,13569,2024-03-23T23:30:00.000Z,Atlanta Hawks,Charlotte Hornets
19,13554,2024-03-22T00:00:00.000Z,Houston Rockets,Chicago Bulls
20,13555,2024-03-22T00:00:00.000Z,Milwaukee Bucks,Brooklyn Nets
21,13556,2024-03-22T00:30:00.000Z,Dallas Mavericks,Utah Jazz
22,13557,2024-03-22T01:00:00.000Z,Denver Nuggets,New York Knicks
23,13558,2024-03-22T02:30:00.000Z,Phoenix Suns,Atlanta Hawks
24,13559,2024-03-22T23:00:00.000Z,Detroit Pistons,Boston Celtics
25,13560,2024-03-22T23:00:00.000Z,Toronto Raptors,Oklahoma City Thunder
26,13548,2024-03-21T00:00:00.000Z,Oklahoma City Thunder,Utah Jazz
27,13549,2024-03-21T02:00:00.000Z,Golden State Warriors,Memphis Grizzlies
28,13550,2024-03-21T02:00:00.000Z,Phoenix Suns,Philadelphia 76ers
29,13551,2024-03-21T02:00:00.000Z,Portland Trail Blazers,LA Clippers
30,13552,2024-03-21T23:00:00.000Z,Orlando Magic,New Orleans Pelicans
31,13553,2024-03-21T23:00:00.000Z,Washington Wizards,Sacramento Kings
32,13542,2024-03-20T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks
33,13543,2024-03-20T01:00:00.000Z,Minnesota Timberwolves,Denver Nuggets
34,13544,2024-03-20T23:00:00.000Z,Cleveland Cavaliers,Miami Heat
35,13545,2024-03-20T23:00:00.000Z,Detroit Pistons,Indiana Pacers
36,13546,2024-03-20T23:30:00.000Z,Boston Celtics,Milwaukee Bucks
37,13547,2024-03-20T23:30:00.000Z,Toronto Raptors,Sacramento Kings
