outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Bilal Coulibaly,Over,-115,8.5,-0.6933267629474642,DraftKings,player_points,Washington Wizards,5.9,5.779063022270937,0.5009443985361799,0.29583445410395476,Orlando Magic,0.9795022071645656,4.184793901735186,9.0,2024-03-06
Bilal Coulibaly,Under,-115,8.5,0.2195179505662168,DraftKings,player_points,Washington Wizards,5.9,5.779063022270937,0.5009443985361799,0.6418397436553478,Orlando Magic,0.9795022071645656,4.184793901735186,8.0,2024-03-06
Deni Avdija,Over,-120,14.5,0.11929778999684028,DraftKings,player_points,Washington Wizards,18.7,18.316691273977376,0.5108444854637724,0.5800422431799502,Orlando Magic,0.9795022071645656,10.238774340710902,15.0,2024-03-06
Deni Avdija,Under,-110,14.5,-0.23029188488640806,DraftKings,player_points,Washington Wizards,18.7,18.316691273977376,0.49057287889774975,0.3987451148172403,Orlando Magic,0.9795022071645656,10.238774340710902,14.0,2024-03-06
Franz Wagner,Over,-120,19.5,-0.02559008953531592,DraftKings,player_points,Orlando Magic,19.9,20.976019464158842,0.5108444854637724,0.4980981102257244,Washington Wizards,1.0540713298572284,8.537760350381944,20.0,2024-03-06
Franz Wagner,Under,-110,19.5,-0.015914038905812996,DraftKings,player_points,Orlando Magic,19.9,20.976019464158842,0.49057287889774975,0.4828881776514475,Washington Wizards,1.0540713298572284,8.537760350381944,19.0,2024-03-06
Jalen Suggs,Over,-110,10.5,0.04423451832713213,DraftKings,player_points,Orlando Magic,11.4,12.016413160372403,0.49057287889774975,0.5132774601140694,Washington Wizards,1.0540713298572284,4.1668333300001335,11.0,2024-03-06
Jalen Suggs,Under,-120,10.5,-0.12613768831340624,DraftKings,player_points,Orlando Magic,11.4,12.016413160372403,0.5108444854637724,0.45362524562059003,Washington Wizards,1.0540713298572284,4.1668333300001335,10.0,2024-03-06
Jordan Poole,Over,-125,16.5,0.020065254218962113,DraftKings,player_points,Washington Wizards,18.4,18.022840611828006,0.5203045685279164,0.5309583834719707,Orlando Magic,0.9795022071645656,11.054055760684879,17.0,2024-03-06
Jordan Poole,Under,-105,16.5,-0.07306804547505921,DraftKings,player_points,Washington Wizards,18.4,18.022840611828006,0.479695431472079,0.44703169896342637,Orlando Magic,0.9795022071645656,11.054055760684879,16.0,2024-03-06
Kyle Kuzma,Over,-120,21.5,0.037546081190732314,DraftKings,player_points,Washington Wizards,23.8,23.312152530516663,0.5108444854637724,0.5307729289478927,Orlando Magic,0.9795022071645656,6.492451573761772,22.0,2024-03-06
Kyle Kuzma,Under,-110,21.5,-0.08486206415373665,DraftKings,player_points,Washington Wizards,23.8,23.312152530516663,0.49057287889774975,0.45219839010632995,Orlando Magic,0.9795022071645656,6.492451573761772,21.0,2024-03-06
Paolo Banchero,Over,-115,23.5,-0.05114992870641803,DraftKings,player_points,Orlando Magic,22.6,23.822012054773364,0.5009443985361799,0.4765679803190965,Washington Wizards,1.0540713298572284,6.957010852370434,24.0,2024-03-06
Paolo Banchero,Under,-115,23.5,0.011355874556429071,DraftKings,player_points,Orlando Magic,22.6,23.822012054773364,0.5009443985361799,0.5066984020275478,Washington Wizards,1.0540713298572284,6.957010852370434,23.0,2024-03-06
Tyus Jones,Over,-130,10.5,-0.14144610640810748,DraftKings,player_points,Washington Wizards,10.1,9.892972292362112,0.5293533436327497,0.46375675615427353,Orlando Magic,0.9795022071645656,6.097273864788314,11.0,2024-03-06
Tyus Jones,Under,100,10.5,0.05583707634619971,DraftKings,player_points,Washington Wizards,10.1,9.892972292362112,0.4682741116751247,0.4959674860594595,Orlando Magic,0.9795022071645656,6.097273864788314,10.0,2024-03-06
Wendell Carter Jr.,Over,-130,11.5,-0.021884885434854943,DraftKings,player_points,Orlando Magic,12.6,13.281298756201078,0.5293533436327497,0.518016609480908,Washington Wizards,1.0540713298572284,4.536923348414403,12.0,2024-03-06
Wendell Carter Jr.,Under,100,11.5,-0.03587779121353873,DraftKings,player_points,Orlando Magic,12.6,13.281298756201078,0.4682741116751247,0.4520553637186661,Washington Wizards,1.0540713298572284,4.536923348414403,11.0,2024-03-06
Wendell Carter Jr.,Over,-120,11.5,0.013845355314615572,FanDuel,player_points,Orlando Magic,12.6,13.281298756201078,0.5108444854637724,0.518016609480908,Washington Wizards,1.0540713298572284,4.536923348414403,12.0,2024-03-06
Wendell Carter Jr.,Under,-102,11.5,-0.046134006968128215,FanDuel,player_points,Orlando Magic,12.6,13.281298756201078,0.4729104890184428,0.4520553637186661,Washington Wizards,1.0540713298572284,4.536923348414403,11.0,2024-03-06
Paolo Banchero,Over,-108,23.5,-0.0203888521974512,FanDuel,player_points,Orlando Magic,22.6,23.822012054773364,0.48628465443186036,0.4765679803190965,Washington Wizards,1.0540713298572284,6.957010852370434,24.0,2024-03-06
Paolo Banchero,Under,-112,23.5,0.023521306780919113,FanDuel,player_points,Orlando Magic,22.6,23.822012054773364,0.49478019346805635,0.5066984020275478,Washington Wizards,1.0540713298572284,6.957010852370434,23.0,2024-03-06
Franz Wagner,Over,-102,20.5,0.012895793418155126,FanDuel,player_points,Orlando Magic,19.9,20.976019464158842,0.4729104890184428,0.47908871815676113,Washington Wizards,1.0540713298572284,8.537760350381944,21.0,2024-03-06
Franz Wagner,Under,-120,20.5,-0.017817417849370045,FanDuel,player_points,Orlando Magic,19.9,20.976019464158842,0.5108444854637724,0.5019018897742756,Washington Wizards,1.0540713298572284,8.537760350381944,20.0,2024-03-06
Jalen Suggs,Over,-110,10.5,0.04423451832713213,FanDuel,player_points,Orlando Magic,11.4,12.016413160372403,0.49057287889774975,0.5132774601140694,Washington Wizards,1.0540713298572284,4.1668333300001335,11.0,2024-03-06
Jalen Suggs,Under,-110,10.5,-0.08144968480890621,FanDuel,player_points,Orlando Magic,11.4,12.016413160372403,0.49057287889774975,0.45362524562059003,Washington Wizards,1.0540713298572284,4.1668333300001335,10.0,2024-03-06
Jordan Poole,Over,-120,16.5,0.037882249596799346,FanDuel,player_points,Washington Wizards,18.4,18.022840611828006,0.5108444854637724,0.5309583834719707,Orlando Magic,0.9795022071645656,11.054055760684879,17.0,2024-03-06
Jordan Poole,Under,-102,16.5,-0.057890279626755685,FanDuel,player_points,Washington Wizards,18.4,18.022840611828006,0.4729104890184428,0.44703169896342637,Orlando Magic,0.9795022071645656,11.054055760684879,16.0,2024-03-06
Corey Kispert,Over,-130,10.5,0.17378742732215083,FanDuel,player_points,Washington Wizards,17.0,16.651537521797614,0.5293533436327497,0.6406987271048843,Orlando Magic,0.9795022071645656,7.367563487038112,11.0,2024-03-06
Corey Kispert,Under,106,10.5,-0.34865184576824154,FanDuel,player_points,Washington Wizards,17.0,16.651537521797614,0.4546350598787619,0.33710335347502907,Orlando Magic,0.9795022071645656,7.367563487038112,10.0,2024-03-06
Tyus Jones,Over,-104,11.5,-0.1264755995957559,FanDuel,player_points,Washington Wizards,10.1,9.892972292362112,0.4774559570020879,0.42384935561269727,Orlando Magic,0.9795022071645656,6.097273864788314,12.0,2024-03-06
Tyus Jones,Under,-118,11.5,0.05464739667671629,FanDuel,player_points,Washington Wizards,10.1,9.892972292362112,0.50693894658408,0.5362432438457265,Orlando Magic,0.9795022071645656,6.097273864788314,11.0,2024-03-06
Deni Avdija,Over,102,15.5,0.16999219379438682,FanDuel,player_points,Washington Wizards,18.7,18.316691273977376,0.46363773433180666,0.558594426299832,Orlando Magic,0.9795022071645656,10.238774340710902,16.0,2024-03-06
Deni Avdija,Under,-124,15.5,-0.23452020948903013,FanDuel,player_points,Washington Wizards,18.7,18.316691273977376,0.518446337926031,0.41995775682004977,Orlando Magic,0.9795022071645656,10.238774340710902,15.0,2024-03-06
Kyle Kuzma,Over,-108,21.5,0.0838179042104084,FanDuel,player_points,Washington Wizards,23.8,23.312152530516663,0.48628465443186036,0.5307729289478927,Orlando Magic,0.9795022071645656,6.492451573761772,22.0,2024-03-06
Kyle Kuzma,Under,-112,21.5,-0.09416619849467778,FanDuel,player_points,Washington Wizards,23.8,23.312152530516663,0.49478019346805635,0.45219839010632995,Orlando Magic,0.9795022071645656,6.492451573761772,21.0,2024-03-06
Bilal Coulibaly,Over,-114,8.5,-0.6864461178318713,FanDuel,player_points,Washington Wizards,5.9,5.779063022270937,0.4989088666445254,0.29583445410395476,Orlando Magic,0.9795022071645656,4.184793901735186,9.0,2024-03-06
Bilal Coulibaly,Under,-106,8.5,0.24916902040540642,FanDuel,player_points,Washington Wizards,5.9,5.779063022270937,0.4819131634714876,0.6418397436553478,Orlando Magic,0.9795022071645656,4.184793901735186,8.0,2024-03-06
Jordan Poole,Over,-142,16.5,-0.03500545876707977,Caesars,player_points,Washington Wizards,18.4,18.022840611828006,0.5495448252716341,0.5309583834719707,Orlando Magic,0.9795022071645656,11.054055760684879,17.0,2024-03-06
Jordan Poole,Under,104,16.5,-0.026979221859883874,Caesars,player_points,Washington Wizards,18.4,18.022840611828006,0.45909226634816147,0.44703169896342637,Orlando Magic,0.9795022071645656,11.054055760684879,16.0,2024-03-06
Deni Avdija,Over,-157,14.5,0.013636370508782587,Caesars,player_points,Washington Wizards,18.7,18.316691273977376,0.5721325722412031,0.5800422431799502,Orlando Magic,0.9795022071645656,10.238774340710902,15.0,2024-03-06
Deni Avdija,Under,114,14.5,-0.09754161353502841,Caesars,player_points,Washington Wizards,18.7,18.316691273977376,0.43763935670572407,0.3987451148172403,Orlando Magic,0.9795022071645656,10.238774340710902,14.0,2024-03-06
