,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
0,Al Horford,Over,-112,9.5,-0.04304202446356457,DraftKings,player_points,Boston Celtics,9.3,10.88518863607208,0.49478019346805635,0.4743626640762833,Miami Heat,1.0261659819655462,3.5821609626913413,10.0,2024-05-01
1,Al Horford,Under,-108,9.5,0.005565845709154028,DraftKings,player_points,Boston Celtics,9.3,10.88518863607208,0.48628465443186036,0.4890063885412717,Miami Heat,1.0261659819655462,3.5821609626913413,9.0,2024-05-01
2,Bam Adebayo,Over,102,21.5,-0.19734341701360505,DraftKings,player_points,Miami Heat,16.7,18.494814987917103,0.46363773433180666,0.38722201813094237,Boston Celtics,0.91465506922362,5.905162304312878,22.0,2024-05-01
3,Bam Adebayo,Under,-122,21.5,0.13049739345593797,DraftKings,player_points,Miami Heat,16.7,18.494814987917103,0.5146796542735605,0.5919242224232242,Boston Celtics,0.91465506922362,5.905162304312878,21.0,2024-05-01
4,Caleb Martin,Over,-105,12.5,-0.45472146075371633,DraftKings,player_points,Miami Heat,8.9,9.30545788602807,0.479695431472079,0.32975070789396377,Boston Celtics,0.91465506922362,6.612993575361901,13.0,2024-05-01
5,Caleb Martin,Under,-115,12.5,0.20546167283225744,DraftKings,player_points,Miami Heat,8.9,9.30545788602807,0.5009443985361799,0.6304848758169733,Boston Celtics,0.91465506922362,6.612993575361901,12.0,2024-05-01
6,Derrick White,Over,102,16.5,0.0001355601700075234,DraftKings,player_points,Boston Celtics,15.5,16.462705904614893,0.46363773433180666,0.4637005936631162,Miami Heat,1.0261659819655462,9.117912190555545,17.0,2024-05-01
7,Derrick White,Under,-122,16.5,-0.005008585923421846,DraftKings,player_points,Boston Celtics,15.5,16.462705904614893,0.5146796542735605,0.512114683876718,Miami Heat,1.0261659819655462,9.117912190555545,16.0,2024-05-01
8,Haywood Highsmith,Over,-130,6.5,-0.10936445533889302,DraftKings,player_points,Miami Heat,6.5,8.731743568743914,0.5293533436327497,0.4771681128642622,Boston Celtics,0.91465506922362,4.006276312971525,7.0,2024-05-01
9,Haywood Highsmith,Under,110,6.5,0.06537060539214133,DraftKings,player_points,Miami Heat,6.5,8.731743568743914,0.44597534445249976,0.4771681128642622,Boston Celtics,0.91465506922362,4.006276312971525,6.0,2024-05-01
10,Jaylen Brown,Over,-102,23.5,-0.0899947391640307,DraftKings,player_points,Boston Celtics,20.2,22.816966627973336,0.4729104890184428,0.43386492799143284,Miami Heat,1.0261659819655462,6.1378752864371275,24.0,2024-05-01
11,Jaylen Brown,Under,-118,23.5,0.07633445852434384,DraftKings,player_points,Boston Celtics,20.2,22.816966627973336,0.50693894658408,0.548833883933994,Miami Heat,1.0261659819655462,6.1378752864371275,23.0,2024-05-01
12,Jayson Tatum,Over,-102,27.5,-0.1479376437930725,DraftKings,player_points,Boston Celtics,22.2,26.068311283358216,0.4729104890184428,0.4119653115092807,Miami Heat,1.0261659819655462,5.1404971657526595,28.0,2024-05-01
13,Jayson Tatum,Under,-118,27.5,0.1153591065025153,DraftKings,player_points,Boston Celtics,22.2,26.068311283358216,0.50693894658408,0.5730448934819916,Miami Heat,1.0261659819655462,5.1404971657526595,27.0,2024-05-01
