,outcomes_name,outcomes_description,outcomes_price,outcomes_point,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers.key,bookmakers.title,bookmakers.last_update,bookmakers.markets.key,bookmakers.markets.last_update
0,Over,Miles Bridges,-112,21.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
1,Under,Miles Bridges,-115,21.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
2,Under,Nick Richards,-118,9.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
3,Over,Nick Richards,-110,9.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
4,Over,Tre Mann,-110,10.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
5,Under,Tre Mann,-118,10.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
6,Over,Vasilije Micic,-119,12.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
7,Under,Vasilije Micic,-109,12.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
8,Over,Brandon Miller,-110,18.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
9,Under,Brandon Miller,-118,18.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betonlineag,BetOnline.ag,,player_points,2024-03-15T12:58:18Z
10,Over,Miles Bridges,-108,21.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
11,Under,Miles Bridges,-118,21.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
12,Over,Vasilije Micic,-118,12.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
13,Under,Vasilije Micic,-108,12.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
14,Over,Tre Mann,-115,10.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
15,Under,Tre Mann,-111,10.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
16,Over,Nick Richards,-113,9.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
17,Under,Nick Richards,-113,9.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
18,Over,Brandon Miller,-102,18.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
19,Under,Brandon Miller,-125,18.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,fanduel,FanDuel,,player_points,2024-03-15T12:59:32Z
20,Over,Vasilije Micic,-250,10.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betrivers,BetRivers,,player_points,2024-03-15T12:58:29Z
21,Under,Vasilije Micic,163,10.5,bc91ce5febe426de3464ecdcaf1813d9,basketball_nba,NBA,2024-03-15T23:00:00Z,Charlotte Hornets,Phoenix Suns,betrivers,BetRivers,,player_points,2024-03-15T12:58:29Z
