,outcomes_name,outcomes_description,outcomes_price,outcomes_point,timestamp,data.id,"data,.home_team",data.away_team,data.bookmakers.title,data.bookmakers.markets.key
0,Over,Bobby Portis,110,14.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
1,Under,Bobby Portis,-140,14.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
2,Over,Brandon Miller,-115,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
3,Under,Brandon Miller,-115,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
4,Over,Brook Lopez,-125,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
5,Under,Brook Lopez,-105,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
6,Over,Cody Martin,-105,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
7,Under,Cody Martin,-125,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
8,Over,Damian Lillard,-135,22.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
9,Under,Damian Lillard,105,22.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
10,Over,Giannis Antetokounmpo,-150,27.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
11,Under,Giannis Antetokounmpo,120,27.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
12,Over,Grant Williams,-125,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
13,Under,Grant Williams,-105,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
14,Over,Jae Crowder,-105,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
15,Under,Jae Crowder,-125,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
16,Over,Miles Bridges,-115,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
17,Under,Miles Bridges,-115,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
18,Over,Nick Richards,-120,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
19,Under,Nick Richards,-110,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
20,Over,Seth Curry,-115,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
21,Under,Seth Curry,-115,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
22,Over,Tre Mann,-115,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
23,Under,Tre Mann,-115,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
24,Over,Vasilije Micic,-120,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
25,Under,Vasilije Micic,-110,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,DraftKings,player_points
