,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,52,141,16,40,371.5,7,8,266.7,13,33,339.3,2,15,17,6,9,3,4,0,18,75,69,58,23,281.1938775510204,16.132653061224488,9.387755102040817,25.275510204081634,393.0,391.53061224489795,282.7040816326531,25.47959183673469,10
2,A.J. Lawson,Dallas Mavericks,G,26,47,11,24,323.3,2,6,100.0,2,8,100.0,2,7,9,3,5,1,0,1,2,38,35,29,12,44.822829964328186,8.337693222354341,2.3055885850178357,1.7574316290130796,68.91200951248514,60.78478002378121,49.25683709869203,14.336504161712245,7
3,Aaron Gordon,Denver Nuggets,PF,140,317,57,102,647.5,23,33,596.7,3,15,108.3,26,39,65,41,20,4,13,4,52,246,205,181,106,236.00434027777777,121.125,60.90625,2.111111111111111,377.04600694444446,535.0251736111111,138.90017361111111,121.15625,10
4,Aaron Holiday,Houston Rockets,G,60,149,21,53,346.0,12,12,400.0,6,23,228.3,4,9,13,21,15,7,2,1,41,94,73,81,34,214.3809184763261,10.192595229619082,33.66927732289071,10.0,359.7892488430046,288.53435386258457,285.70202919188324,43.79565681737273,10
5,Aaron Nesmith,Indiana Pacers,SF,118,307,39,99,405.7,20,20,700.0,20,54,380.1,7,30,37,18,38,5,6,12,54,173,155,136,55,126.75509280217292,12.474875509280217,15.483929379809867,10.04074241738343,142.24581258488004,130.2050701674966,130.31507469443187,36.43956541421458,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,57,155,23,38,580.8,6,9,180.0,5,12,200.0,10,11,21,11,5,6,10,5,-21,89,78,68,32,182.47355268638069,11.008329862557268,8.93502707205331,8.08371511870054,246.44273219491882,260.7455226988755,178.49396084964602,9.620158267388588,10
7,Admiral Schofield,Orlando Magic,SF,5,11,2,4,66.7,0,0,0.0,1,2,100.0,0,2,2,0,1,1,0,0,-11,7,7,5,2,15.131487889273355,0.02768166089965399,0.006920415224913495,0.5847750865051903,15.408304498269898,15.698961937716263,14.868512110726641,0.006920415224913498,2
8,Al Horford,Boston Celtics,C,112,283,41,76,569.3,8,8,400.0,22,45,499.3,14,43,57,23,17,9,9,6,84,192,169,135,80,463.6398891966759,79.74238227146814,22.101108033240997,33.646814404432135,561.696675900277,527.0941828254848,506.52770083102496,93.55817174515235,10
9,Alec Burks,New York Knicks,SG,71,129,23,72,280.0,14,19,446.4,11,40,257.5,3,15,18,9,2,3,4,0,-8,98,89,80,27,291.6373966942149,21.038223140495866,3.264462809917355,9.09194214876033,498.97520661157023,450.1570247933885,330.61673553719004,34.14152892561983,10
10,Aleksej Pokusevski,Charlotte Hornets,F,60,177,22,47,482.9,11,14,416.7,5,16,266.6,9,29,38,19,9,10,8,6,-51,117,98,79,57,86.00104058272632,27.59729448491155,12.891779396462018,2.2278876170655564,208.08428720083245,168.94484911550467,115.56295525494278,50.066597294484914,9
11,Aleksej Pokusevski,Oklahoma City Thunder,F,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.58792924037461,18.406867845993755,4.532778355879292,0.33714880332986474,171.52549427679503,120.29136316337147,77.55359001040583,41.20811654526534,1
12,Alex Caruso,Chicago Bulls,SG,124,320,44,93,449.6,11,16,375.0,25,55,447.5,8,35,43,50,27,21,12,5,5,217,167,174,93,299.0672818146866,38.2079969242599,23.936947327950794,23.423683198769705,544.5793925413302,399.2145328719723,423.1280276816609,83.44905805459439,10
