,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date,home_team,away_team,Unnamed: 0,points_avg,totReb_avg,assists_avg,tpm_avg,Points_Rebounds_Assist_avg,Points_Rebounds_avg,Points_Assist_avg,Rebounds_Assist_avg,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation
3737,18,Kyle,Anderson,Minnesota Timberwolves,13323,8,SF,22,1,3,33.3,6,6,100.0,0,0,0.0,0,3,3,8,0,0,0,0,29,Kyle Anderson,19,11,16,11,13323,2024-02-13 21:00:00,Portland Trail Blazers,Minnesota Timberwolves,3601.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,3.8117913832199553,0.3832199546485261,12.08390022675737,0.02040816326530612,23.131519274376423,1.7777777777777795,29.469387755102044,8.163265306122453
3317,18,Kyle,Anderson,Minnesota Timberwolves,13339,2,SF,21,1,4,25.0,0,0,0.0,0,0,0.0,2,5,7,3,1,0,2,0,16,Kyle Anderson,12,9,5,10,13339,2024-02-15 21:00:00,Portland Trail Blazers,Minnesota Timberwolves,3181.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,16.383219954648524,11.430839002267573,2.3219954648526073,0.02040816326530612,4.798185941043081,0.44444444444444364,31.04081632653061,3.4489795918367365
2871,18,Kyle,Anderson,Minnesota Timberwolves,13356,8,SF,29,4,4,100.0,0,0,0.0,0,0,0.0,1,1,2,6,3,2,3,0,9,Kyle Anderson,16,10,14,8,13356,2024-02-23 19:00:00,Minnesota Timberwolves,Milwaukee Bucks,2735.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,3.8117913832199553,2.621315192743764,2.179138321995465,0.02040816326530612,3.2743764172335625,0.11111111111111151,11.755102040816329,0.02040816326530598
2655,18,Kyle,Anderson,Minnesota Timberwolves,13363,12,SF,31,6,10,60.0,0,0,0.0,0,2,0.0,0,9,9,3,1,0,0,1,6,Kyle Anderson,24,21,15,12,13363,2024-02-24 19:00:00,Minnesota Timberwolves,Brooklyn Nets,2519.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,35.430839002267575,28.9546485260771,2.3219954648526073,0.02040816326530612,96.22675736961453,128.44444444444446,19.612244897959187,14.877551020408168
2289,18,Kyle,Anderson,Minnesota Timberwolves,13386,2,SF,15,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,4,1,2,2,0,1,Kyle Anderson,8,4,6,6,13386,2024-02-27 18:30:00,Minnesota Timberwolves,San Antonio Spurs,2153.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,16.383219954648524,2.621315192743764,0.27437641723356,0.02040816326530612,38.3219954648526,32.11111111111111,20.897959183673468,4.591836734693875
1568,18,Kyle,Anderson,Minnesota Timberwolves,13421,8,SF,14,2,5,40.0,4,4,100.0,0,1,0.0,0,3,3,3,2,0,1,1,-5,Kyle Anderson,14,11,11,6,13421,2024-03-03 14:30:00,Minnesota Timberwolves,LA Clippers,1432.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,3.8117913832199553,0.3832199546485261,2.3219954648526073,0.02040816326530612,0.03628117913832174,1.7777777777777795,0.1836734693877553,4.591836734693875
1313,18,Kyle,Anderson,Minnesota Timberwolves,13429,9,SF,29,3,8,37.5,2,2,100.0,1,2,50.0,0,3,3,5,1,1,1,1,13,Kyle Anderson,17,12,14,8,13429,2024-03-04 19:00:00,Minnesota Timberwolves,Portland Trail Blazers,1177.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,8.71655328798186,0.3832199546485261,0.22675736961451254,0.7346938775510206,7.893424036281183,5.444444444444447,11.755102040816329,0.02040816326530598
815,18,Kyle,Anderson,Minnesota Timberwolves,13451,3,SF,28,1,5,20.0,1,2,50.0,0,0,0.0,0,3,3,4,6,0,1,0,8,Kyle Anderson,10,6,7,7,13451,2024-03-07 18:00:00,Indiana Pacers,Minnesota Timberwolves,679.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,9.28798185941043,0.3832199546485261,0.27437641723356,0.02040816326530612,17.56009070294784,13.44444444444444,12.755102040816325,1.3061224489795906
649,18,Kyle,Anderson,Minnesota Timberwolves,13459,10,SF,35,5,9,55.6,0,1,0.0,0,0,0.0,0,3,3,5,1,1,1,0,-15,Kyle Anderson,18,13,15,8,13459,2024-03-08 18:30:00,Cleveland Cavaliers,Minnesota Timberwolves,513.0,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,15.621315192743765,0.3832199546485261,0.22675736961451254,0.02040816326530612,14.512471655328802,11.111111111111114,19.612244897959187,0.02040816326530598
98,18,Kyle,Anderson,Minnesota Timberwolves,13492,10,SF,29,5,8,62.5,0,1,0,0,1,0,3,2,5,7,1,0,2,0,+7,Kyle Anderson,22,15,17,12,13492,2024-03-12 20:00:00,LA Clippers,Minnesota Timberwolves,,6.0476190476190474,3.619047619047619,4.523809523809524,0.14285714285714285,14.19047619047619,9.666666666666666,10.571428571428571,8.142857142857142,15.621315192743765,1.90702947845805,6.1315192743764175,0.02040816326530612,60.988662131519284,28.44444444444445,41.3265306122449,14.877551020408168
