,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date
0,1901,Grant,Williams,Charlotte Hornets,13466,9,PF,38,4,6,66.7,0,0,0,1,1,100.0,0,5,5,2,3,3,3,0,+1,Grant Williams,16,14,11,7,13466,03/10/2024 12:00:00 AM
1,3950,Brandon,Miller,Charlotte Hornets,13466,23,F,36,10,21,47.6,1,2,50.0,2,10,20.0,0,7,7,3,2,0,2,1,-3,Brandon Miller,33,30,26,10,13466,03/10/2024 12:00:00 AM
2,941,Miles,Bridges,Charlotte Hornets,13466,24,SF,39,10,15,66.7,2,5,40.0,2,5,40.0,1,9,10,4,1,1,3,0,+11,Miles Bridges,38,34,28,14,13466,03/10/2024 12:00:00 AM
3,2639,Nick,Richards,Charlotte Hornets,13466,15,C,31,6,10,60.0,3,3,100.0,0,0,0,5,6,11,0,3,1,1,1,-3,Nick Richards,26,26,15,11,13466,03/10/2024 12:00:00 AM
4,2739,Vasilije,Micic,Charlotte Hornets,13466,12,G,31,5,13,38.5,1,1,100.0,1,5,20.0,1,4,5,10,1,0,5,0,+2,Vasilije Micic,27,17,22,15,13466,03/10/2024 12:00:00 AM
5,2633,Aleksej,Pokusevski,Charlotte Hornets,13466,7,F,8,2,2,100.0,2,2,100.0,1,1,100.0,0,2,2,0,0,1,1,1,+7,Aleksej Pokusevski,9,9,7,2,13466,03/10/2024 12:00:00 AM
6,2856,JT,Thor,Charlotte Hornets,13466,5,F,13,2,2,100.0,0,0,0,1,1,100.0,0,1,1,0,1,0,0,0,+6,JT Thor,6,6,5,1,13466,03/10/2024 12:00:00 AM
7,52,Davis,Bertans,Charlotte Hornets,13466,11,SF,28,3,8,37.5,2,2,100.0,3,6,50.0,1,2,3,4,4,2,1,0,+25,Davis Bertans,18,14,15,7,13466,03/10/2024 12:00:00 AM
8,4042,Nick Jr.,Smith,Charlotte Hornets,13466,4,G,17,2,4,50.0,0,0,0,0,1,0,1,0,1,3,3,1,0,0,+9,Nick Jr. Smith,8,5,7,4,13466,03/10/2024 12:00:00 AM
9,175,Dorian,Finney-Smith,Brooklyn Nets,13466,8,PF,38,2,8,25.0,3,4,75.0,1,6,16.7,2,3,5,2,1,1,2,0,+11,Dorian Finney-Smith,15,13,10,7,13466,03/10/2024 12:00:00 AM
10,940,Mikal,Bridges,Brooklyn Nets,13466,19,SF,41,6,18,33.3,3,3,100.0,4,11,36.4,0,2,2,4,1,1,1,0,-10,Mikal Bridges,25,21,23,6,13466,03/10/2024 12:00:00 AM
11,1854,Nic,Claxton,Brooklyn Nets,13466,14,C,34,6,10,60.0,2,3,66.7,0,0,0,4,6,10,4,3,0,3,2,-7,Nic Claxton,28,24,18,14,13466,03/10/2024 12:00:00 AM
12,472,Dennis,Schroder,Brooklyn Nets,13466,12,PG,39,5,12,41.7,0,0,0,2,7,28.6,1,5,6,7,0,1,2,0,-13,Dennis Schroder,25,18,19,13,13466,03/10/2024 12:00:00 AM
13,2855,Cam,Thomas,Brooklyn Nets,13466,31,SG,30,12,24,50.0,2,3,66.7,5,10,50.0,0,1,1,2,2,0,2,0,+4,Cam Thomas,34,32,33,3,13466,03/10/2024 12:00:00 AM
14,2861,Trendon,Watford,Brooklyn Nets,13466,6,PF,13,2,6,33.3,1,2,50.0,1,2,50.0,3,2,5,0,3,0,1,0,-4,Trendon Watford,11,11,6,5,13466,03/10/2024 12:00:00 AM
15,3946,Jalen,Wilson,Brooklyn Nets,13466,0,F,20,0,5,0,0,0,0,0,3,0,2,2,4,1,2,1,2,0,-18,Jalen Wilson,5,4,1,5,13466,03/10/2024 12:00:00 AM
16,2848,Day'Ron,Sharpe,Brooklyn Nets,13466,2,C,10,1,3,33.3,0,0,0,0,0,0,4,1,5,2,1,0,1,0,-5,Day'Ron Sharpe,9,7,4,7,13466,03/10/2024 12:00:00 AM
17,876,Dennis,Smith Jr.,Brooklyn Nets,13466,7,PG,14,2,4,50.0,2,2,100.0,1,3,33.3,0,3,3,0,1,0,1,0,-13,Dennis Smith Jr.,10,10,7,3,13466,03/10/2024 12:00:00 AM
18,3971,Ausar,Thompson,Detroit Pistons,13467,4,F,11,1,7,14.3,2,4,50.0,0,2,0,4,1,5,0,1,1,0,0,0,Ausar Thompson,9,9,4,5,13467,03/10/2024 12:00:00 AM
19,2648,Isaiah,Stewart,Detroit Pistons,13467,5,C,34,2,6,33.3,0,0,0,1,4,25.0,0,4,4,0,0,3,1,0,+2,Isaiah Stewart,9,9,5,4,13467,03/10/2024 12:00:00 AM
20,3433,Jalen,Duren,Detroit Pistons,13467,6,C,16,1,4,25.0,4,4,100.0,0,0,0,2,6,8,3,4,0,2,0,-21,Jalen Duren,17,14,9,11,13467,03/10/2024 12:00:00 AM
21,2801,Cade,Cunningham,Detroit Pistons,13467,33,PG,32,11,21,52.4,8,8,100.0,3,7,42.9,3,6,9,10,2,0,5,0,-7,Cade Cunningham,52,42,43,19,13467,03/10/2024 12:00:00 AM
22,3451,Jaden,Ivey,Detroit Pistons,13467,17,PG,36,7,21,33.3,1,2,50.0,2,9,22.2,4,2,6,4,3,2,6,1,-16,Jaden Ivey,27,23,21,10,13467,03/10/2024 12:00:00 AM
23,3438,Simone,Fontecchio,Detroit Pistons,13467,27,F,32,9,13,69.2,5,5,100.0,4,5,80.0,1,3,4,2,4,1,0,1,+2,Simone Fontecchio,33,31,29,6,13467,03/10/2024 12:00:00 AM
24,945,Troy,Brown Jr.,Detroit Pistons,13467,0,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,Troy Brown Jr.,1,0,1,1,13467,03/10/2024 12:00:00 AM
