,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,13561,Heat,88,22,7,27,34,3,6,4,13,47,-23,,,,,,,31,86,13,15,9,13561,2024-03-23
1,13561,Pelicans,111,25,12,44,56,3,13,2,18,36,23,,,,,,,42,82,9,12,13,13561,2024-03-23
2,13562,Timberwolves,104,27,13,33,46,9,12,5,14,27,13,,,,,,,41,85,8,16,12,13562,2024-03-23
3,13562,Cavaliers,91,22,10,31,41,6,12,5,7,29,-13,,,,,,,34,81,16,19,14,13562,2024-03-23
4,13563,Spurs,97,24,15,41,56,12,16,7,7,38,-2,,,,,,,37,95,16,23,23,13563,2024-03-23
5,13563,Grizzlies,99,18,9,42,51,10,18,4,12,34,2,,,,,,,33,82,21,31,17,13563,2024-03-23
6,13564,Warriors,111,24,24,40,64,6,14,6,14,48,-12,,,,,,,43,106,11,16,15,13564,2024-03-23
7,13564,Pacers,123,32,12,38,50,8,11,10,15,36,12,,,,,,,48,99,12,16,14,13564,2024-03-23
8,13565,Trail Blazers,117,29,15,26,41,11,10,1,12,33,-8,,,,,,,45,93,15,25,19,13565,2024-03-23
9,13565,Clippers,125,26,7,33,40,8,17,8,14,33,8,,,,,,,44,77,23,27,21,13565,2024-03-23
10,13566,Lakers,101,22,11,43,54,1,21,7,12,31,7,,,,,,,32,73,25,33,16,13566,2024-03-23
11,13566,76ers,94,20,13,29,42,13,9,7,8,37,-7,,,,,,,33,96,20,24,23,13566,2024-03-23
12,13567,Knicks,99,24,15,29,44,8,8,4,15,36,15,,,,,,,40,91,4,9,14,13567,2024-03-23
13,13567,Nets,84,23,8,30,38,4,12,6,11,31,-15,,,,,,,30,70,13,15,12,13567,2024-03-23
14,13554,Rockets,127,27,13,36,49,7,16,6,17,45,10,,,,,,,47,93,16,20,21,13554,2024-03-22
15,13554,Bulls,117,23,12,31,43,8,11,3,12,31,-10,,,,,,,42,93,21,25,17,13554,2024-03-22
16,13555,Bucks,115,27,11,29,40,5,10,4,16,41,7,,,,,,,43,91,13,15,17,13555,2024-03-22
17,13555,Nets,108,29,15,34,49,7,14,1,13,44,-7,,,,,,,41,92,13,16,12,13555,2024-03-22
18,13556,Mavericks,113,33,11,32,43,12,13,3,10,32,16,,,,,,,43,86,17,28,20,13556,2024-03-22
19,13556,Jazz,97,29,5,33,38,6,18,3,4,30,-16,,,,,,,38,83,17,19,23,13556,2024-03-22
