Original Name,Fixed Name
Nicolas Claxton,Nic Claxton
Cam Johnson,Cameron Johnson
Jabari Smith Jr,Jabari Smith Jr.
Dereck Lively II,Dereck II Lively
Dereck Lively,Dereck II Lively
PJ Washington,P.J. Washington
Mike Conley Jr.,Mike Conley
Marvin Bagley,Marvin Bagley III
G Antetokounmpo,Giannis Antetokounmpo
S Gilgeous-Alexander,Shai Gilgeous-Alexander
Vince Williams Jr,Vince Williams Jr.
Isaiah Stewart II,Isaiah Stewart
Michael Porter Jr,Michael Porter Jr.
Gary Trent Jr,Gary Trent Jr.
K Caldwell-Pope,Kentavious Caldwell-Pope
