outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Alex Caruso,Over,-125,7.5,-0.012514464916140515,DraftKings,player_points,Chicago Bulls,8.3,8.624839412432365,0.5203045685279164,0.5138737139631971,Los Angeles Clippers,1.039137278606309,3.420526275297414,8.0,2024-03-09
Alex Caruso,Under,-105,7.5,-0.08998065704337635,DraftKings,player_points,Chicago Bulls,8.3,8.624839412432365,0.479695431472079,0.4400953616674954,Los Angeles Clippers,1.039137278606309,3.420526275297414,7.0,2024-03-09
Ayo Dosunmu,Over,-110,13.5,0.11126301907019213,DraftKings,player_points,Chicago Bulls,16.2,16.834023913422204,0.49057287889774975,0.5519888216922246,Los Angeles Clippers,1.039137278606309,6.3500000000000005,14.0,2024-03-09
Ayo Dosunmu,Under,-120,13.5,-0.20306602377446545,DraftKings,player_points,Chicago Bulls,16.2,16.834023913422204,0.5108444854637724,0.4246188283674268,Los Angeles Clippers,1.039137278606309,6.3500000000000005,13.0,2024-03-09
Coby White,Over,-115,20.5,0.01903150611931248,DraftKings,player_points,Chicago Bulls,21.6,22.445365217896274,0.5009443985361799,0.5106630861858326,Los Angeles Clippers,1.039137278606309,7.67479641423797,21.0,2024-03-09
Coby White,Under,-115,20.5,-0.062255089937293555,DraftKings,player_points,Chicago Bulls,21.6,22.445365217896274,0.5009443985361799,0.4715857831905059,Los Angeles Clippers,1.039137278606309,7.67479641423797,20.0,2024-03-09
DeMar DeRozan,Over,-105,24.5,0.07567742347422916,DraftKings,player_points,Chicago Bulls,26.3,27.329310427345924,0.479695431472079,0.5189697229673852,Los Angeles Clippers,1.039137278606309,6.718072640274143,25.0,2024-03-09
DeMar DeRozan,Under,-125,24.5,-0.11542010459161939,DraftKings,player_points,Chicago Bulls,26.3,27.329310427345924,0.5203045685279164,0.46646511604559227,Los Angeles Clippers,1.039137278606309,6.718072640274143,24.0,2024-03-09
James Harden,Over,-125,18.5,-0.024392408310838807,DraftKings,player_points,LA Clippers,19.4,20.15926320496239,0.5203045685279164,0.5079152913538936,Los Angeles Clippers,1.039137278606309,7.708145851329875,19.0,2024-03-09
James Harden,Under,-105,18.5,-0.015621958413063542,DraftKings,player_points,LA Clippers,19.4,20.15926320496239,0.479695431472079,0.47231691624865607,Los Angeles Clippers,1.039137278606309,7.708145851329875,18.0,2024-03-09
Kawhi Leonard,Over,-120,25.5,-0.1123959217194503,DraftKings,player_points,LA Clippers,23.5,24.419726047248258,0.5108444854637724,0.4592290168361557,Los Angeles Clippers,1.039137278606309,5.123475382979799,26.0,2024-03-09
Kawhi Leonard,Under,-110,25.5,0.0646667300269063,DraftKings,player_points,LA Clippers,23.5,24.419726047248258,0.49057287889774975,0.5244899274371603,Los Angeles Clippers,1.039137278606309,5.123475382979799,25.0,2024-03-09
Nikola Vucevic,Over,-120,18.5,0.04489531107316243,DraftKings,player_points,Chicago Bulls,20.9,21.717969122871853,0.5108444854637724,0.534857059531098,Los Angeles Clippers,1.039137278606309,6.923149572268391,19.0,2024-03-09
Nikola Vucevic,Under,-110,18.5,-0.09775567147627179,DraftKings,player_points,Chicago Bulls,20.9,21.717969122871853,0.49057287889774975,0.4468871276593114,Los Angeles Clippers,1.039137278606309,6.923149572268391,18.0,2024-03-09
Paul George,Over,-110,22.5,-0.1252535727278968,DraftKings,player_points,LA Clippers,19.7,20.471004388544284,0.49057287889774975,0.43596651527040087,Los Angeles Clippers,1.039137278606309,7.4185683423420725,23.0,2024-03-09
Paul George,Under,-120,22.5,0.06220375211527428,DraftKings,player_points,LA Clippers,19.7,20.471004388544284,0.5108444854637724,0.5447286514698932,Los Angeles Clippers,1.039137278606309,7.4185683423420725,22.0,2024-03-09
Ayo Dosunmu,Over,-102,13.5,0.14326075015677395,FanDuel,player_points,Chicago Bulls,16.2,16.834023913422204,0.4729104890184428,0.5519888216922246,Los Angeles Clippers,1.039137278606309,6.3500000000000005,14.0,2024-03-09
Ayo Dosunmu,Under,-120,13.5,-0.20306602377446545,FanDuel,player_points,Chicago Bulls,16.2,16.834023913422204,0.5108444854637724,0.4246188283674268,Los Angeles Clippers,1.039137278606309,6.3500000000000005,13.0,2024-03-09
Alex Caruso,Over,-132,7.5,-0.03695446924170257,FanDuel,player_points,Chicago Bulls,8.3,8.624839412432365,0.5328636443199696,0.5138737139631971,Los Angeles Clippers,1.039137278606309,3.420526275297414,8.0,2024-03-09
Alex Caruso,Under,108,7.5,-0.02310455445921323,FanDuel,player_points,Chicago Bulls,8.3,8.624839412432365,0.4502635689183892,0.4400953616674954,Los Angeles Clippers,1.039137278606309,3.420526275297414,7.0,2024-03-09
DeMar DeRozan,Over,-102,24.5,0.08875129301490485,FanDuel,player_points,Chicago Bulls,26.3,27.329310427345924,0.4729104890184428,0.5189697229673852,Los Angeles Clippers,1.039137278606309,6.718072640274143,25.0,2024-03-09
DeMar DeRozan,Under,-120,24.5,-0.09513973905358974,FanDuel,player_points,Chicago Bulls,26.3,27.329310427345924,0.5108444854637724,0.46646511604559227,Los Angeles Clippers,1.039137278606309,6.718072640274143,24.0,2024-03-09
James Harden,Over,-122,18.5,-0.013317895788559474,FanDuel,player_points,LA Clippers,19.4,20.15926320496239,0.5146796542735605,0.5079152913538936,Los Angeles Clippers,1.039137278606309,7.708145851329875,19.0,2024-03-09
James Harden,Under,100,18.5,0.008559516787247503,FanDuel,player_points,LA Clippers,19.4,20.15926320496239,0.4682741116751247,0.47231691624865607,Los Angeles Clippers,1.039137278606309,7.708145851329875,18.0,2024-03-09
Paul George,Over,-106,22.5,-0.10539031460383856,FanDuel,player_points,LA Clippers,19.7,20.471004388544284,0.4819131634714876,0.43596651527040087,Los Angeles Clippers,1.039137278606309,7.4185683423420725,23.0,2024-03-09
Paul George,Under,-114,22.5,0.08411487940230052,FanDuel,player_points,LA Clippers,19.7,20.471004388544284,0.4989088666445254,0.5447286514698932,Los Angeles Clippers,1.039137278606309,7.4185683423420725,22.0,2024-03-09
Nikola Vucevic,Over,-110,18.5,0.0827962907924812,FanDuel,player_points,Chicago Bulls,20.9,21.717969122871853,0.49057287889774975,0.534857059531098,Los Angeles Clippers,1.039137278606309,6.923149572268391,19.0,2024-03-09
Nikola Vucevic,Under,-110,18.5,-0.09775567147627179,FanDuel,player_points,Chicago Bulls,20.9,21.717969122871853,0.49057287889774975,0.4468871276593114,Los Angeles Clippers,1.039137278606309,6.923149572268391,18.0,2024-03-09
Kawhi Leonard,Over,-114,25.5,-0.08640536280077163,FanDuel,player_points,LA Clippers,23.5,24.419726047248258,0.4989088666445254,0.4592290168361557,Los Angeles Clippers,1.039137278606309,5.123475382979799,26.0,2024-03-09
Kawhi Leonard,Under,-106,25.5,0.08117746736094153,FanDuel,player_points,LA Clippers,23.5,24.419726047248258,0.4819131634714876,0.5244899274371603,Los Angeles Clippers,1.039137278606309,5.123475382979799,25.0,2024-03-09
