outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Cameron Johnson,Over,-110,16.5,-0.673432493743542,DraftKings,player_points,Brooklyn Nets,13.222222222222221,12.897206703910616,0.49057287889774975,0.29315367111123597,Memphis Grizzlies,110.58,1.0252004581901488,7.5391979794166115,17.0,2024-03-04
Cameron Johnson,Under,-120,16.5,0.22560263198692662,DraftKings,player_points,Brooklyn Nets,13.222222222222221,12.897206703910616,0.5108444854637724,0.6596671251278688,Memphis Grizzlies,110.58,1.0252004581901488,7.5391979794166115,16.0,2024-03-04
Dorian Finney-Smith,Over,-110,9.5,-1.8581263695812906,DraftKings,player_points,Brooklyn Nets,6.444444444444445,6.286033519553073,0.49057287889774975,0.17164142359794177,Memphis Grizzlies,110.58,1.0252004581901488,3.9189315752329774,10.0,2024-03-04
Dorian Finney-Smith,Under,-120,9.5,0.32400869278405564,DraftKings,player_points,Brooklyn Nets,6.444444444444445,6.286033519553073,0.5108444854637724,0.7556968262915604,Memphis Grizzlies,110.58,1.0252004581901488,3.9189315752329774,9.0,2024-03-04
Mikal Bridges,Over,-115,22.5,-0.6551700862213992,DraftKings,player_points,Brooklyn Nets,18.846153846153847,18.382896433175766,0.5009443985361799,0.302654333053946,Memphis Grizzlies,110.58,1.0252004581901488,8.934343020452069,23.0,2024-03-04
Mikal Bridges,Under,-115,22.5,0.2377683389716751,DraftKings,player_points,Brooklyn Nets,18.846153846153847,18.382896433175766,0.5009443985361799,0.6572075448300809,Memphis Grizzlies,110.58,1.0252004581901488,8.934343020452069,22.0,2024-03-04
Nic Claxton,Over,-135,11.5,-0.748549121754752,DraftKings,player_points,Brooklyn Nets,10.23076923076923,9.979286635152556,0.538017064477803,0.30769342295507107,Memphis Grizzlies,110.58,1.0252004581901488,4.022128142277345,12.0,2024-03-04
Nic Claxton,Under,105,11.5,0.23878813281003924,DraftKings,player_points,Brooklyn Nets,10.23076923076923,9.979286635152556,0.45685279187817046,0.6001650940685646,Memphis Grizzlies,110.58,1.0252004581901488,4.022128142277345,11.0,2024-03-04
Santi Aldama,Over,-125,12.5,-1.388162764985742,DraftKings,player_points,Memphis Grizzlies,9.25,9.273934137018525,0.5203045685279164,0.2178681353534221,Brooklyn Nets,113.66,0.9974192034723443,4.780603169754489,13.0,2024-03-04
Santi Aldama,Under,-105,12.5,0.3297916359648357,DraftKings,player_points,Memphis Grizzlies,9.25,9.273934137018525,0.479695431472079,0.7157407415567713,Brooklyn Nets,113.66,0.9974192034723443,4.780603169754489,12.0,2024-03-04
