,outcomes_name,outcomes_description,outcomes_price,outcomes_point,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers.key,bookmakers.title,bookmakers.last_update,bookmakers.markets.key,bookmakers.markets.last_update
0,Over,Alex Caruso,-125,7.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
1,Under,Alex Caruso,-105,7.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
2,Over,Ayo Dosunmu,-110,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
3,Under,Ayo Dosunmu,-120,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
4,Over,Coby White,-115,20.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
5,Under,Coby White,-115,20.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
6,Over,DeMar DeRozan,-105,24.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
7,Under,DeMar DeRozan,-125,24.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
8,Over,James Harden,-125,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
9,Under,James Harden,-105,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
10,Over,Kawhi Leonard,-120,25.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
11,Under,Kawhi Leonard,-110,25.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
12,Over,Nikola Vucevic,-120,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
13,Under,Nikola Vucevic,-110,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
14,Over,Paul George,-110,22.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
15,Under,Paul George,-120,22.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,draftkings,DraftKings,,player_points,2024-03-09T15:20:50Z
16,Under,Coby White,-130,20.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
17,Over,Coby White,100,20.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
18,Over,DeMar DeRozan,-108,24.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
19,Under,DeMar DeRozan,-120,24.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
20,Over,Kawhi Leonard,-120,25.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
21,Under,Kawhi Leonard,-108,25.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
22,Under,Paul George,-120,22.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
23,Over,Paul George,-108,22.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
24,Over,Nikola Vucevic,-118,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
25,Under,Nikola Vucevic,-110,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
26,Over,Ayo Dosunmu,-109,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
27,Under,Ayo Dosunmu,-119,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
28,Under,Alex Caruso,105,7.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
29,Over,Alex Caruso,-135,7.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
30,Under,James Harden,-106,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
31,Over,James Harden,-122,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,betonlineag,BetOnline.ag,,player_points,2024-03-09T15:22:01Z
32,Over,Alex Caruso,-125,7.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
33,Under,Alex Caruso,-105,7.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
34,Over,Ayo Dosunmu,-110,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
35,Under,Ayo Dosunmu,-120,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
36,Over,Coby White,-115,20.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
37,Under,Coby White,-115,20.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
38,Over,DeMar DeRozan,-120,23.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
39,Under,DeMar DeRozan,-110,23.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
40,Over,Nikola Vucevic,-120,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
41,Under,Nikola Vucevic,-110,18.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-03-09T15:21:14Z
42,Over,Ayo Dosunmu,-102,13.5,35c97a35680150e49b5bfb57de875ca6,basketball_nba,NBA,2024-03-09T21:10:00Z,Los Angeles Clippers,Chicago Bulls,fanduel,FanDuel,,player_points,2024-03-09T15:22:14Z
