,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,72,146,24,55,410.6,5,6,266.7,19,47,375.3,1,16,17,10,9,3,6,1,-20,99,89,82,27,521.5390625,12.2890625,12.9765625,38.0390625,654.2265625,532.5,644.40625,24.125,10
2,A.J. Lawson,Dallas Mavericks,G,14,31,6,13,170.0,1,4,50.0,1,4,50.0,2,4,6,1,4,0,0,1,-7,21,20,15,7,27.530864197530864,5.08641975308642,0.7530864197530864,0.8271604938271604,31.197530864197528,30.0,27.5679012345679,7.0,4
3,Aaron Gordon,Denver Nuggets,PF,155,307,63,110,599.4,24,30,535.0,5,22,158.3,18,50,68,35,19,12,19,5,86,258,223,190,103,239.71604938271602,143.61111111111111,35.27160493827161,4.5,582.9444444444445,670.8456790123457,220.0,110.69753086419753,10
4,Aaron Holiday,Houston Rockets,G,51,119,19,46,263.4,3,3,100.0,10,21,269.2,3,4,7,13,14,5,7,1,-41,71,58,64,20,355.9972299168975,5.742382271468146,10.290858725761774,24.249307479224377,428.4293628808864,423.18005540166206,360.1994459833795,17.0803324099723,10
5,Aaron Nesmith,Indiana Pacers,SF,114,275,38,84,440.6,22,31,598.8,16,43,381.5,4,26,30,16,30,8,12,6,8,160,144,130,46,330.6015625,54.1015625,15.15625,8.4765625,652.5,569.40625,379.2265625,103.7265625,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,64,161,24,47,490.0,9,10,450.0,7,18,300.0,11,12,23,4,9,10,9,7,46,91,87,68,27,150.5,7.700000000000002,4.425,7.700000000000001,196.92500000000004,158.59999999999997,183.625,17.324999999999996,10
7,Al Horford,Boston Celtics,C,72,243,29,53,458.1,7,8,350.0,7,20,265.0,12,42,54,13,11,6,3,8,62,139,126,85,67,200.26989619377161,14.567474048442907,27.747404844290656,7.0,413.6643598615917,282.56747404844293,322.71626297577853,50.965397923875436,10
8,Alec Burks,New York Knicks,SG,65,148,24,84,261.0,7,13,258.3,10,41,231.79999999999998,5,11,16,8,6,2,6,1,-51,89,81,73,24,183.78892733564015,14.069204152249137,5.494809688581315,5.695501730103807,294.1280276816609,269.9619377162629,205.0,22.519031141868517,10
9,Aleksej Pokusevski,Oklahoma City Thunder,F,4,13,1,3,50.0,1,2,50.0,1,2,100.0,0,1,1,0,0,1,0,0,-8,5,5,4,1,8.0,0.5,0.0,0.5,12.5,12.5,8.0,0.5,2
10,Alex Caruso,Chicago Bulls,SG,83,294,30,77,405.3,9,10,300.0,14,49,298.4,6,31,37,31,29,23,11,10,-10,151,120,114,68,117.0,31.43827160493827,33.21604938271605,12.419753086419753,134.97530864197532,146.7716049382716,124.54938271604937,45.30864197530864,10
11,Alex Len,Sacramento Kings,C,29,92,13,24,386.7,3,7,60.0,0,1,0.0,10,16,26,4,12,4,6,7,18,59,55,33,30,107.47448979591837,5.795918367346938,4.877551020408163,0.0,103.14795918367346,104.29081632653062,110.98469387755104,6.020408163265307,9
12,Alondes Williams,Miami Heat,G,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,0,-2,1,1,0,1,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,1
13,Alperen Sengun,Houston Rockets,C,214,329,82,159,512.7,45,73,651.5,5,14,250.0,42,64,106,49,38,15,27,8,-9,369,320,263,155,798.5540166204986,198.5595567867036,119.61495844875346,4.562326869806094,1733.9750692520777,1507.7174515235456,892.9279778393352,450.0581717451523,10
14,Amen Thompson,Houston Rockets,F,97,227,40,83,396.6,16,25,468.3,1,12,33.3,26,41,67,18,26,15,11,17,0,182,164,115,85,546.325,77.325,20.5,0.9249999999999999,1000.5,812.4,721.7249999999999,110.52500000000002,10
15,Amir Coffey,LA Clippers,SG,60,234,22,52,382.1,9,10,450.0,7,22,308.3,5,16,21,16,17,10,6,1,-38,97,81,76,37,236.3213296398892,29.565096952908586,13.20775623268698,7.0,294.5346260387812,291.02770083102496,261.5623268698061,21.038781163434905,10
16,Andre Drummond,Chicago Bulls,C,96,209,40,79,441.8,16,26,641.7,0,1,0.0,36,72,108,2,22,2,12,7,28,206,204,98,110,286.425,339.99999999999994,1.6000000000000003,0.0,1027.625,991.625,297.625,366.4,10
17,Andre Jr. Jackson,Milwaukee Bucks,G,8,62,3,8,233.3,0,0,0.0,2,5,200.0,0,8,8,8,6,3,2,0,-3,24,16,16,16,11.58677685950413,3.0,8.256198347107436,1.4380165289256195,32.2809917355372,25.132231404958677,17.644628099173552,12.347107438016527,5
18,Andrew Nembhard,Indiana Pacers,PG,100,294,43,80,586.2,2,3,66.7,12,27,516.7,7,23,30,34,21,17,13,1,-8,164,130,134,64,77.02499999999999,38.025,41.625,5.7,130.625,76.0,125.99999999999999,85.3,10
19,Andrew Wiggins,Golden State Warriors,SF,128,257,49,98,486.4,13,15,616.7,17,37,456.6,9,27,36,26,18,12,8,3,31,190,164,154,62,242.8641975308642,34.44444444444444,17.82716049382716,9.067901234567902,340.44444444444446,333.2345679012346,235.77777777777777,66.5679012345679,10
20,Anfernee Simons,Portland Trail Blazers,SG,212,365,75,187,398.5,29,32,857.1,33,86,378.9,3,36,39,60,28,6,37,0,-83,311,251,272,99,749.9012345679013,25.049382716049383,124.2777777777778,24.179012345679013,1180.7716049382716,759.1234567901234,1127.1419753086418,193.73456790123456,10
21,Anthony Black,Orlando Magic,G,70,238,23,55,366.9,11,16,450.0,13,25,408.3,7,23,30,11,17,6,9,2,23,111,100,81,41,329.3827160493827,56.0,5.34567901234568,17.790123456790123,498.7777777777777,463.8271604938271,362.1111111111111,63.5679012345679,10
22,Anthony Davis,Los Angeles Lakers,PF,251,363,96,171,561.1,58,69,758.4,1,10,33.3,27,104,131,22,23,8,16,23,8,404,382,273,153,632.4626038781163,26.822714681440452,41.25207756232687,1.1662049861495845,842.9806094182826,875.4792243767312,627.0,41.03878116343491,10
23,Anthony Edwards,Minnesota Timberwolves,SG,273,354,97,224,419.6,58,69,850.1,21,68,305.7,5,47,52,40,13,16,23,8,46,365,325,313,92,973.9586776859504,45.739669421487605,28.975206611570254,21.3099173553719,1274.5,1171.6570247933885,1061.5123966942149,90.00413223140495,10
