,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date,Unnamed: 0,points_avg,totReb_avg,assists_avg,tpm_avg,Points_Rebounds_Assist_avg,Points_Rebounds_avg,Points_Assist_avg,Rebounds_Assist_avg,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation
3196,18,Kyle,Anderson,Minnesota Timberwolves,13318,5,SF,20,2,6,33.3,0,0,0.0,1,1,100.0,1,1,2,6,1,2,0,0,9,Kyle Anderson,13,7,11,8,13318,2024-02-12,2899.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,0.7224999999999994,1.8225000000000002,3.2399999999999993,0.7224999999999999,0.16000000000000028,4.839999999999997,0.9024999999999986,0.20250000000000015
2948,18,Kyle,Anderson,Minnesota Timberwolves,13323,8,SF,22,1,3,33.3,6,6,100.0,0,0,0.0,0,3,3,8,0,0,0,0,29,Kyle Anderson,19,11,16,11,13323,2024-02-13,2651.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,4.622500000000001,0.12250000000000007,14.44,0.0225,31.359999999999996,3.2400000000000024,35.40249999999999,11.902500000000002
2528,18,Kyle,Anderson,Minnesota Timberwolves,13339,2,SF,21,1,4,25.0,0,0,0.0,0,0,0.0,2,5,7,3,1,0,2,0,16,Kyle Anderson,12,9,5,10,13339,2024-02-15,2231.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,14.822499999999998,13.3225,1.4400000000000004,0.0225,1.960000000000001,0.039999999999999716,25.50250000000001,6.002500000000001
2082,18,Kyle,Anderson,Minnesota Timberwolves,13356,8,SF,29,4,4,100.0,0,0,0.0,0,0,0.0,1,1,2,6,3,2,3,0,9,Kyle Anderson,16,10,14,8,13356,2024-02-23,1785.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,4.622500000000001,1.8225000000000002,3.2399999999999993,0.0225,6.759999999999998,0.6400000000000011,15.602499999999994,0.20250000000000015
1866,18,Kyle,Anderson,Minnesota Timberwolves,13363,12,SF,31,6,10,60.0,0,0,0.0,0,2,0.0,0,9,9,3,1,0,0,1,6,Kyle Anderson,24,21,15,12,13363,2024-02-24,1569.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,37.822500000000005,31.922500000000003,1.4400000000000004,0.0225,112.36,139.24,24.502499999999994,19.802500000000002
1500,18,Kyle,Anderson,Minnesota Timberwolves,13386,2,SF,15,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,4,1,2,2,0,1,Kyle Anderson,8,4,6,6,13386,2024-02-27,1203.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,14.822499999999998,1.8225000000000002,0.04000000000000007,0.0225,29.160000000000004,27.039999999999992,16.402500000000007,2.4024999999999994
779,18,Kyle,Anderson,Minnesota Timberwolves,13421,8,SF,14,2,5,40.0,4,4,100.0,0,1,0.0,0,3,3,3,2,0,1,1,-5,Kyle Anderson,14,11,11,6,13421,2024-03-03,482.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,4.622500000000001,0.12250000000000007,1.4400000000000004,0.0225,0.3599999999999996,3.2400000000000024,0.9024999999999986,2.4024999999999994
524,18,Kyle,Anderson,Minnesota Timberwolves,13429,9,SF,29,3,8,37.5,2,2,100.0,1,2,50.0,0,3,3,5,1,1,1,1,13,Kyle Anderson,17,12,14,8,13429,2024-03-04,227.0,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,9.922500000000003,0.12250000000000007,0.6399999999999997,0.7224999999999999,12.959999999999997,7.840000000000004,15.602499999999994,0.20250000000000015
191,18,Kyle,Anderson,Minnesota Timberwolves,13451,3,SF,28,1,5,20.0,1,2,50.0,0,0,0,0,3,3,4,6,0,1,0,+8,Kyle Anderson,10,6,7,7,13451,2024-03-07,,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,8.122499999999999,0.12250000000000007,0.04000000000000007,0.0225,11.560000000000002,10.239999999999995,9.302500000000004,0.3024999999999998
48,18,Kyle,Anderson,Minnesota Timberwolves,13459,10,SF,35,5,9,55.6,0,1,0,0,0,0,0,3,3,5,1,1,1,0,-15,Kyle Anderson,18,13,15,8,13459,2024-03-08,,5.85,3.35,4.2,0.15,13.4,9.2,10.05,7.55,17.222500000000004,0.12250000000000007,0.6399999999999997,0.0225,21.159999999999997,14.440000000000005,24.502499999999994,0.20250000000000015
3099,20,Giannis,Antetokounmpo,Milwaukee Bucks,13315,36,PF,30,14,19,73.7,8,14,57.1,0,0,0.0,4,14,18,5,2,3,2,2,18,Giannis Antetokounmpo,59,54,41,23,13315,2024-02-12,2802.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,37.210000000000015,59.28999999999999,3.610000000000001,0.7224999999999999,141.60999999999996,190.4399999999999,17.640000000000025,33.64000000000001
2885,20,Giannis,Antetokounmpo,Milwaukee Bucks,13321,23,PF,34,11,18,61.1,0,0,0.0,1,2,50.0,2,9,11,8,0,0,5,2,-23,Giannis Antetokounmpo,42,34,31,19,13321,2024-02-13,2588.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,47.60999999999998,0.489999999999999,1.2099999999999993,0.022500000000000006,26.010000000000016,38.44000000000003,33.639999999999965,3.2400000000000024
2499,20,Giannis,Antetokounmpo,Milwaukee Bucks,13338,35,PF,37,15,17,88.2,5,9,55.6,0,0,0.0,0,4,4,12,5,0,1,0,-14,Giannis Antetokounmpo,51,39,47,16,13338,2024-02-15,2202.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,26.010000000000016,39.69000000000001,26.009999999999998,0.7224999999999999,15.209999999999988,1.4400000000000068,104.04000000000006,1.4399999999999984
2087,20,Giannis,Antetokounmpo,Milwaukee Bucks,13356,33,PF,41,9,13,69.2,14,21,66.7,1,1,100.0,4,9,13,5,1,1,3,0,1,Giannis Antetokounmpo,51,46,38,18,13356,2024-02-23,1790.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,9.610000000000008,7.2899999999999965,3.610000000000001,0.022500000000000006,15.209999999999988,33.639999999999965,1.4400000000000068,0.6400000000000011
1922,20,Giannis,Antetokounmpo,Milwaukee Bucks,13365,30,PF,36,10,17,58.8,9,12,75.0,1,2,50.0,1,11,12,9,1,0,6,1,14,Giannis Antetokounmpo,51,42,39,21,13365,2024-02-25,1625.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,0.010000000000000285,2.8899999999999975,4.409999999999998,0.022500000000000006,15.209999999999988,3.2399999999999896,4.840000000000012,14.440000000000005
1540,20,Giannis,Antetokounmpo,Milwaukee Bucks,13388,24,PF,24,8,13,61.5,7,8,87.5,1,1,100.0,3,5,8,1,1,0,1,0,25,Giannis Antetokounmpo,33,32,25,9,13388,2024-02-27,1243.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,34.80999999999998,5.290000000000004,34.81,0.022500000000000006,198.81000000000003,67.24000000000005,139.23999999999992,67.24
1093,20,Giannis,Antetokounmpo,Milwaukee Bucks,13397,24,PF,33,10,15,66.7,2,3,66.7,2,2,100.0,2,8,10,5,3,0,1,0,16,Giannis Antetokounmpo,39,34,29,15,13397,2024-02-29,796.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,34.80999999999998,0.09000000000000043,3.610000000000001,1.3224999999999998,65.61000000000003,38.44000000000003,60.839999999999954,4.839999999999997
1004,20,Giannis,Antetokounmpo,Milwaukee Bucks,13412,46,PF,37,16,22,72.7,12,16,75.0,2,3,66.7,5,11,16,6,3,1,1,1,6,Giannis Antetokounmpo,68,62,52,22,13412,2024-03-01,707.0,29.9,10.3,6.9,0.85,47.1,40.2,36.8,17.2,259.21000000000004,32.489999999999995,0.8100000000000006,1.3224999999999998,436.80999999999995,475.2399999999999,231.04000000000008,23.040000000000006
