,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date
0,222,Tobias,Harris,Philadelphia 76ers,13457,21,PF,39,9,19,47.4,3,3,100.0,0,5,0,3,7,10,3,1,3,0,1,+10,Tobias Harris,34,31,24,13,13457,03/09/2024 12:00:00 AM
1,932,Mo,Bamba,Philadelphia 76ers,13457,2,C,18,1,2,50.0,0,0,0,0,1,0,1,5,6,0,2,0,1,2,-4,Mo Bamba,8,8,2,6,13457,03/09/2024 12:00:00 AM
2,327,Kyle,Lowry,Philadelphia 76ers,13457,6,PG,31,1,5,20.0,3,4,75.0,1,4,25.0,1,2,3,7,1,1,1,0,-11,Kyle Lowry,16,9,13,10,13457,03/09/2024 12:00:00 AM
3,236,Buddy,Hield,Philadelphia 76ers,13457,8,SG,25,2,10,20.0,2,2,100.0,2,9,22.2,0,2,2,2,3,2,2,1,-15,Buddy Hield,12,10,10,4,13457,03/09/2024 12:00:00 AM
4,407,Kelly,Oubre Jr.,Philadelphia 76ers,13457,20,SG,34,7,18,38.9,4,7,57.1,2,6,33.3,1,6,7,2,4,0,1,0,-12,Kelly Oubre Jr.,29,27,22,9,13457,03/09/2024 12:00:00 AM
5,2617,Kenyon,Martin Jr.,Philadelphia 76ers,13457,0,F,17,0,3,0,0,0,0,0,1,0,1,1,2,0,3,0,1,0,-17,Kenyon Martin Jr.,2,2,0,2,13457,03/09/2024 12:00:00 AM
6,2638,Paul,Reed,Philadelphia 76ers,13457,17,SF,27,7,16,43.8,1,1,100.0,2,4,50.0,6,5,11,2,2,1,0,3,+1,Paul Reed,30,28,19,13,13457,03/09/2024 12:00:00 AM
7,417,Cameron,Payne,Philadelphia 76ers,13457,13,PG,23,5,9,55.6,3,3,100.0,0,3,0,0,1,1,4,1,1,2,0,+4,Cameron Payne,18,14,17,5,13457,03/09/2024 12:00:00 AM
8,2878,Jeff,Dowtin,Philadelphia 76ers,13457,6,G,19,2,3,66.7,0,0,0,2,3,66.7,0,0,0,1,0,0,2,0,+3,Jeff Dowtin,7,6,7,1,13457,03/09/2024 12:00:00 AM
9,4049,Ricky IV,Council,Philadelphia 76ers,13457,2,G,6,1,3,33.3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,+1,Ricky IV Council,2,2,2,0,13457,03/09/2024 12:00:00 AM
10,1902,Zion,Williamson,New Orleans Pelicans,13457,23,PF,35,7,14,50.0,9,9,100.0,0,1,0,2,10,12,4,2,2,1,3,+13,Zion Williamson,39,35,27,16,13457,03/09/2024 12:00:00 AM
11,260,Brandon,Ingram,New Orleans Pelicans,13457,17,SF,35,6,10,60.0,3,4,75.0,2,2,100.0,0,7,7,5,3,0,4,2,-13,Brandon Ingram,29,24,22,12,13457,03/09/2024 12:00:00 AM
12,2822,Herbert,Jones,New Orleans Pelicans,13457,4,SF,31,1,4,25.0,1,1,100.0,1,3,33.3,0,3,3,3,2,0,1,1,-15,Herbert Jones,10,7,7,6,13457,03/09/2024 12:00:00 AM
13,525,Jonas,Valanciunas,New Orleans Pelicans,13457,6,C,19,2,7,28.6,2,2,100.0,0,3,0,3,7,10,2,3,1,1,1,0,Jonas Valanciunas,18,16,8,12,13457,03/09/2024 12:00:00 AM
14,347,CJ,McCollum,New Orleans Pelicans,13457,10,SG,27,5,14,35.7,0,0,0,0,7,0,0,4,4,1,2,0,3,0,-4,CJ McCollum,15,14,11,5,13457,03/09/2024 12:00:00 AM
