,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
18,13427,Nets,102,27,12,21,33,10,13,6,15,42,-4,,,,,,,35,79,17,30,20,13427,3/5/2024
19,13427,Grizzlies,106,26,15,35,50,6,19,3,12,37,4,,,,,,,38,82,18,22,22,13427,3/5/2024
20,13428,Bucks,113,20,7,39,46,8,12,3,15,38,7,,,,,,,37,78,24,28,20,13428,3/5/2024
21,13428,Clippers,106,25,5,33,38,9,14,3,16,40,-7,,,,,,,37,84,16,25,21,13428,3/5/2024
22,13429,Timberwolves,119,28,12,28,40,9,11,7,11,28,5,,,,,,,40,79,28,37,17,13429,3/5/2024
23,13429,Trail Blazers,114,28,12,29,41,5,14,3,16,39,-5,,,,,,,45,92,8,11,26,13429,3/5/2024
24,13430,Jazz,127,29,11,40,51,6,13,9,16,40,12,,,,,,,49,101,13,15,16,13430,3/5/2024
25,13430,Wizards,115,26,10,33,43,6,15,3,16,38,-12,,,,,,,40,94,19,23,15,13430,3/5/2024
26,13431,Kings,109,29,20,31,51,6,18,6,11,37,-4,,,,,,,41,92,16,18,22,13431,3/5/2024
27,13431,Bulls,113,28,7,25,32,9,10,2,11,32,4,,,,,,,42,84,18,22,17,13431,3/5/2024
28,13432,Lakers,116,29,12,43,55,8,21,7,16,34,12,,,,,,,41,80,18,25,15,13432,3/5/2024
29,13432,Thunder,104,22,13,25,38,12,10,7,15,39,-12,,,,,,,37,94,15,16,20,13432,3/5/2024
30,13424,Cavaliers,98,31,10,29,39,7,11,5,17,44,-9,,,,,,,39,87,3,8,11,13424,3/4/2024
31,13424,Knicks,107,32,10,37,47,8,12,9,16,39,9,,,,,,,42,86,7,10,13,13424,3/4/2024
32,13425,Spurs,117,33,10,35,45,6,16,8,10,25,12,,,,,,,46,85,15,19,17,13425,3/4/2024
33,13425,Pacers,105,20,14,28,42,9,12,4,6,30,-12,,,,,,,41,93,17,21,14,13425,3/4/2024
34,13426,Suns,110,26,15,35,50,2,22,7,14,39,-8,,,,,,,40,91,16,18,15,13426,3/4/2024
35,13426,Thunder,118,21,10,31,41,16,6,8,9,31,8,,,,,,,49,102,11,15,15,13426,3/4/2024
36,13416,Grizzlies,100,21,9,36,45,15,24,9,15,40,-7,,,,,,,30,83,25,33,17,13416,3/3/2024
37,13416,Trail Blazers,107,23,13,37,50,8,23,5,11,35,7,,,,,,,39,92,18,24,25,13416,3/3/2024
38,13417,Lakers,114,33,6,25,31,5,15,4,12,29,-10,,,,,,,47,89,8,11,9,13417,3/3/2024
39,13417,Nuggets,124,34,11,36,47,5,10,7,11,26,10,,,,,,,54,92,5,7,8,13417,3/3/2024
40,13418,Suns,109,23,9,38,47,6,19,6,9,29,-9,,,,,,,39,85,22,29,17,13418,3/3/2024
41,13418,Rockets,118,27,13,36,49,13,13,3,16,42,9,,,,,,,42,96,18,26,22,13418,3/3/2024
42,13419,Mavericks,116,20,12,33,45,6,17,2,16,41,-4,,,,,,,40,86,20,23,18,13419,3/3/2024
43,13419,76ers,120,26,13,29,42,10,9,5,11,37,4,,,,,,,40,88,29,31,19,13419,3/3/2024
44,13420,Celtics,140,35,7,44,51,10,8,5,25,49,52,,,,,,,53,96,9,11,19,13420,3/3/2024
45,13420,Warriors,88,24,12,34,46,2,17,3,7,41,-52,,,,,,,36,92,9,13,13,13420,3/3/2024
46,13421,Timberwolves,88,24,12,42,54,4,15,7,9,33,-1,,,,,,,31,80,17,18,14,13421,3/3/2024
47,13421,Clippers,89,17,7,33,40,7,9,5,10,34,1,,,,,,,32,85,15,17,12,13421,3/3/2024
48,13422,Magic,113,24,7,41,48,7,22,6,7,23,22,,,,,,,43,72,20,25,16,13422,3/3/2024
49,13422,Pistons,91,25,5,23,28,11,12,2,8,36,-22,,,,,,,33,86,17,20,19,13422,3/3/2024
50,13423,Raptors,111,27,11,34,45,8,16,6,13,38,5,,,,,,,42,91,14,18,16,13423,3/3/2024
51,13423,Hornets,106,24,11,34,45,8,17,6,8,27,-5,,,,,,,43,92,12,16,15,13423,3/3/2024
52,13405,Pistons,100,24,9,33,42,10,9,7,10,36,-10,,,,,,,33,89,24,28,23,13405,3/2/2024
53,13405,Cavaliers,110,25,12,41,53,7,16,6,18,41,10,,,,,,,33,83,26,30,20,13405,3/2/2024
54,13406,76ers,121,38,15,33,48,5,7,7,19,44,7,,,,,,,46,96,10,11,17,13406,3/2/2024
55,13406,Hornets,114,24,7,25,32,5,5,6,14,33,-7,,,,,,,43,84,14,17,13,13406,3/2/2024
56,13407,Celtics,138,33,9,38,47,4,9,8,21,43,28,,,,,,,52,94,13,13,15,13407,3/2/2024
